m,n,l,r,q,easiness_alpha,easiness_beta,iternum,method,error
1000.0,1000.0,3.0,3.0,0.3,50.0,1e-06,8.0,kos,0.389
4000.0,4000.0,3.0,3.0,0.3,50.0,1e-06,8.0,kos,0.4165
63.0,63.0,5.0,5.0,0.3,50.0,1e-06,8.0,kos,0.2857142857142857
250.0,250.0,5.0,5.0,0.3,50.0,1e-06,8.0,kos,0.232
1000.0,1000.0,5.0,5.0,0.3,50.0,1e-06,8.0,kos,0.304
4000.0,4000.0,5.0,5.0,0.3,50.0,1e-06,8.0,kos,0.28875
63.0,63.0,6.0,6.0,0.3,50.0,1e-06,8.0,kos,0.3492063492063492
250.0,250.0,6.0,6.0,0.3,50.0,1e-06,8.0,kos,0.268
1000.0,1000.0,6.0,6.0,0.3,50.0,1e-06,8.0,kos,0.214
4000.0,4000.0,6.0,6.0,0.3,50.0,1e-06,8.0,kos,0.25175
63.0,63.0,7.0,7.0,0.3,50.0,1e-06,8.0,kos,0.42857142857142855
250.0,250.0,7.0,7.0,0.3,50.0,1e-06,8.0,kos,0.164
1000.0,1000.0,7.0,7.0,0.3,50.0,1e-06,8.0,kos,0.217
4000.0,4000.0,7.0,7.0,0.3,50.0,1e-06,8.0,kos,0.194
63.0,63.0,9.0,9.0,0.3,50.0,1e-06,8.0,kos,0.12698412698412698
250.0,250.0,9.0,9.0,0.3,50.0,1e-06,8.0,kos,0.1
1000.0,1000.0,9.0,9.0,0.3,50.0,1e-06,8.0,kos,0.129
4000.0,4000.0,9.0,9.0,0.3,50.0,1e-06,8.0,kos,0.11825
63.0,63.0,11.0,11.0,0.3,50.0,1e-06,8.0,kos,0.06349206349206349
250.0,250.0,11.0,11.0,0.3,50.0,1e-06,8.0,kos,0.136
1000.0,1000.0,11.0,11.0,0.3,50.0,1e-06,8.0,kos,0.053
4000.0,4000.0,11.0,11.0,0.3,50.0,1e-06,8.0,kos,0.06625
63.0,63.0,13.0,13.0,0.3,50.0,1e-06,8.0,kos,0.09523809523809523
250.0,250.0,13.0,13.0,0.3,50.0,1e-06,8.0,kos,0.076
1000.0,1000.0,13.0,13.0,0.3,50.0,1e-06,8.0,kos,0.034
